Jméno zákazníka;Město;E-mail
Jan Novák;Praha;jan.novak@email.cz
Marie Černá;Brno;marie.c@seznam.cz
Petr Svoboda;Ostrava;psvoboda@gmail.com
Lucie Bílá;Praha;lucie@email.cz
Pavel Veselý;Plzeň;p.vesely@email.cz
Jana Malá;Brno;jana.mala@seznam.cz
Igor Hrozný;Ostrava;igor@hrozny.cz
Eva Zelená;Liberec;eva.zelena@email.cz
Tomáš Modrý;Praha;tomas.m@centrum.cz
Klára Krátká;Olomouc;klara@seznam.cz
Marek Bohatý;Praha;marek@bohaty.cz
Alena Stará;Brno;alena@star.cz
Radek Nový;Plzeň;radek@novy.cz
Simona Veselá;Liberec;simona@email.cz
Ondřej Slaný;Praha;ondra@slany.cz
