E-mail zákazníka;Produkt;Množství;Datum a čas;Status
jan.novak@email.cz;Laptop Pro 15;1;10.02.2025 9:15;Dokončeno
marie.c@seznam.cz;Jablko;10;10.02.2025 11:30;Dokončeno
psvoboda@gmail.com;Vrtačka;1;10.02.2025 18:45;Dokončeno
jan.novak@email.cz;Klávesnice mech;1;11.02.2025 2:10;Zrušeno
lucie@email.cz;Lego Hrad;1;11.02.2025 20:20;Dokončeno
p.vesely@email.cz;Kladivo;2;11.02.2025 21:15;Dokončeno
jana.mala@seznam.cz;Chleba;2;12.02.2025 8:05;Dokončeno
marie.c@seznam.cz;Tričko L;3;12.02.2025 12:40;Vráceno
lucie@email.cz;Laptop Pro 15;1;12.02.2025 19:55;Dokončeno
psvoboda@gmail.com;Monitor 27;1;13.02.2025 10:10;Dokončeno
p.vesely@email.cz;Ponožky;5;13.02.2025 22:30;Dokončeno
jan.novak@email.cz;Jablko;5;14.02.2025 1:45;Dokončeno
igor@hrozny.cz;Pila;1;14.02.2025 9:12;Dokončeno
eva.zelena@email.cz;Panenka;2;14.02.2025 14:22;Dokončeno
tomas.m@centrum.cz;Webkamera;1;14.02.2025 18:50;Dokončeno
klara@seznam.cz;Mléko 1L;3;15.02.2025 7:10;Dokončeno
marek@bohaty.cz;Bunda zimní;1;15.02.2025 11:33;Zrušeno
alena@star.cz;Jogurt;4;15.02.2025 15:20;Dokončeno
radek@novy.cz;Šroubovák;10;15.02.2025 19:45;Dokončeno
simona@email.cz;Metr svinovací;2;16.02.2025 10:05;Dokončeno
ondra@slany.cz;Router WiFi;1;16.02.2025 21:12;Dokončeno
jan.novak@email.cz;Myš bezdrátová;1;16.02.2025 23:45;Dokončeno
psvoboda@gmail.com;Autíčko;2;17.02.2025 8:30;Dokončeno
p.vesely@email.cz;Tričko L;1;17.02.2025 12:15;Vráceno
igor@hrozny.cz;Kšiltovka;2;17.02.2025 20:10;Dokončeno
tomas.m@centrum.cz;Sluchátka;1;18.02.2025 19:22;Dokončeno
marek@bohaty.cz;USB Disk;3;18.02.2025 20:45;Dokončeno
radek@novy.cz;Klávesnice mech;1;19.02.2025 9:15;Dokončeno
ondra@slany.cz;Jablko;20;19.02.2025 11:55;Dokončeno
marie.c@seznam.cz;Vejce 10ks;2;19.02.2025 17:30;Dokončeno
lucie@email.cz;Puzzle 1000;1;20.02.2025 22:10;Dokončeno
jana.mala@seznam.cz;Máslo;2;20.02.2025 23:50;Dokončeno
eva.zelena@email.cz;Lego Hrad;1;21.02.2025 14:00;Dokončeno
klara@seznam.cz;Džíny;1;21.02.2025 18:30;Dokončeno
alena@star.cz;Chleba;3;21.02.2025 19:45;Dokončeno
simona@email.cz;Vrtačka;1;22.02.2025 8:20;Dokončeno
jan.novak@email.cz;Ponožky;2;22.02.2025 10:40;Dokončeno
psvoboda@gmail.com;Plyšák;1;22.02.2025 21:15;Dokončeno
p.vesely@email.cz;Šroubovák;5;22.02.2025 22:50;Dokončeno
igor@hrozny.cz;Monitor 27;1;23.02.2025 11:10;Dokončeno
tomas.m@centrum.cz;Jogurt;2;23.02.2025 16:30;Dokončeno
marek@bohaty.cz;Laptop Pro 15;1;23.02.2025 19:15;Dokončeno
radek@novy.cz;Bunda zimní;1;24.02.2025 10:05;Dokončeno
ondra@slany.cz;Mléko 1L;2;24.02.2025 14:40;Dokončeno
marie.c@seznam.cz;Webkamera;1;24.02.2025 20:20;Dokončeno
lucie@email.cz;Pila;1;24.02.2025 21:55;Dokončeno
jana.mala@seznam.cz;Metr svinovací;1;25.02.2025 8:15;Dokončeno
eva.zelena@email.cz;Myš bezdrátová;1;25.02.2025 15:30;Vráceno
klara@seznam.cz;Tričko L;2;25.02.2025 19:40;Dokončeno
alena@star.cz;Autíčko;3;25.02.2025 22:10;Dokončeno
simona@email.cz;Puzzle 1000;1;26.02.2025 9:05;Dokončeno
jan.novak@email.cz;Klávesnice mech;1;26.02.2025 12:30;Dokončeno
psvoboda@gmail.com;Router WiFi;1;26.02.2025 18:50;Dokončeno
p.vesely@email.cz;Jablko;15;26.02.2025 21:20;Dokončeno
igor@hrozny.cz;Kšiltovka;1;27.02.2025 10:45;Dokončeno
tomas.m@centrum.cz;Chleba;2;27.02.2025 15:10;Dokončeno
marek@bohaty.cz;Sluchátka;1;27.02.2025 19:35;Dokončeno
radek@novy.cz;Máslo;1;27.02.2025 21:55;Dokončeno
ondra@slany.cz;Vejce 10ks;3;28.02.2025 7:50;Dokončeno
marie.c@seznam.cz;Panenka;1;28.02.2025 13:20;Dokončeno
lucie@email.cz;Laptop Pro 15;1;28.02.2025 18:40;Dokončeno
jana.mala@seznam.cz;Bunda zimní;1;28.02.2025 20:15;Dokončeno
eva.zelena@email.cz;Monitor 27;1;01.03.2025 10:10;Dokončeno
klara@seznam.cz;Webkamera;1;01.03.2025 15:45;Dokončeno
alena@star.cz;Džíny;1;01.03.2025 19:25;Dokončeno
simona@email.cz;Mléko 1L;2;01.03.2025 22:50;Dokončeno
jan.novak@email.cz;Šroubovák;3;02.03.2025 1:30;Zrušeno
psvoboda@gmail.com;Tričko L;1;02.03.2025 8:45;Dokončeno
p.vesely@email.cz;Jogurt;3;02.03.2025 12:15;Dokončeno
igor@hrozny.cz;Pila;1;02.03.2025 20:30;Dokončeno
tomas.m@centrum.cz;USB Disk;2;02.03.2025 22:10;Dokončeno
marek@bohaty.cz;Vrtačka;1;03.03.2025 9:20;Dokončeno
radek@novy.cz;Plyšák;1;03.03.2025 16:40;Dokončeno
ondra@slany.cz;Myš bezdrátová;1;03.03.2025 19:55;Dokončeno
marie.c@seznam.cz;Lego Hrad;1;03.03.2025 21:40;Dokončeno
lucie@email.cz;Ponožky;4;04.03.2025 8:05;Dokončeno
jana.mala@seznam.cz;Klávesnice mech;1;04.03.2025 11:30;Dokončeno
eva.zelena@email.cz;Sluchátka;1;04.03.2025 20:15;Dokončeno
klara@seznam.cz;Metr svinovací;2;04.03.2025 22:45;Dokončeno
alena@star.cz;Jablko;10;05.03.2025 9:15;Dokončeno
simona@email.cz;Router WiFi;1;05.03.2025 14:30;Dokončeno
jan.novak@email.cz;Bunda zimní;1;05.03.2025 19:20;Dokončeno
psvoboda@gmail.com;Laptop Pro 15;1;05.03.2025 21:50;Dokončeno
p.vesely@email.cz;Chleba;1;06.03.2025 8:25;Dokončeno
igor@hrozny.cz;Puzzle 1000;1;06.03.2025 12:40;Dokončeno
tomas.m@centrum.cz;Autíčko;2;06.03.2025 20:10;Dokončeno
marek@bohaty.cz;Jogurt;1;06.03.2025 22:30;Dokončeno
radek@novy.cz;Webkamera;1;07.03.2025 9:10;Dokončeno
ondra@slany.cz;Tričko L;1;07.03.2025 15:45;Vráceno
marie.c@seznam.cz;Kšiltovka;1;07.03.2025 19:25;Dokončeno
lucie@email.cz;Šroubovák;4;07.03.2025 21:50;Dokončeno
jana.mala@seznam.cz;Mléko 1L;2;08.03.2025 8:15;Dokončeno
eva.zelena@email.cz;Vejce 10ks;1;08.03.2025 12:30;Dokončeno
klara@seznam.cz;Panenka;1;08.03.2025 20:10;Dokončeno
alena@star.cz;Máslo;2;08.03.2025 22:45;Dokončeno
simona@email.cz;Pila;1;09.03.2025 9:05;Dokončeno
jan.novak@email.cz;USB Disk;2;09.03.2025 13:40;Dokončeno
psvoboda@gmail.com;Monitor 27;1;09.03.2025 18:20;Dokončeno
p.vesely@email.cz;Džíny;1;09.03.2025 20:55;Dokončeno
igor@hrozny.cz;Ponožky;3;09.03.2025 23:15;Dokončeno
